# https://civitai.com/articles/14248/female-character-database-and-prompt-table-for-comfyui-and-pony-sdxl
2b from nier automata, white hair, nier automata setting
golden darkness yami from to love-ru, blonde hair, to love-ru setting
golden hind from azur lane, blonde hair, azur lane setting
gorizia from azur lane, dark blue hair, azur lane setting
grace howard from zenless zone zero, purple hair, zenless zone zero setting
grace howard from zenless zone zero, blonde hair, zenless zone zero setting
graf zeppelin from azur lane, blonde hair, azur lane setting
grayfia lucifuge from high school dxd, silver hair, high school dxd setting
green princess from castle crashers, green hair, castle crashers setting
green princess from castle crashers, green hair, castle crashers setting
guam from azur lane, brown hair, azur lane setting
guilty from goddess of victory nikke, silver hair, goddess of victory nikke setting
gwen stacy from marvel comics, blonde hair, marvel comics setting
gwen tennyson older from ben 10, red hair, ben 10 setting
gwen from league of legends, blue hair, league of legends setting
gwenpool from marvel comics gwenpool strikes back, rose and blonde hair, marvel comics gwenpool strikes back setting
gwynevere from dark souls, blonde hair, dark souls setting
hakufu sonsaku from ikki tousen, orange hair, ikki tousen setting
hakuryuu from azur lane, white hair, azur lane setting
hana katsuragi from seikon no qwaser, purple hair, seikon no qwaser setting
hana midorikawa from prison school, blonde hair, prison school setting
hana uzaki from uzaki-chan wants to hang out, silver hair, uzaki-chan wants to hang out setting
hana yurikawa from mieruko-chan, orange hair, mieruko-chan setting
hanabi kawai from keijo, red hair, keijo setting
hanabi tenka from scorching ping pong girls, brown hair, scorching ping pong girls setting
hanabi from senran kagura, orange hair, senran kagura setting
hanekawa tsubasa from monogatari series, black hair, monogatari series setting
hange zoë from attack on titan, brown hair, attack on titan setting
hannibal lu from freezing, green hair, freezing setting
hansode shiranui from medaka box, light blue and white hair, medaka box setting
harley quinn from dc comics, blonde hair, dc comics setting
haruhi suzumiya from the melancholy of haruhi suzumiya, brown hair, the melancholy of haruhi suzumiya setting
haruka oozora from harukana receive, brown hair, harukana receive setting
haruka from senran kagura, blonde hair, senran kagura setting
haruka from senran kagura, blonde hair, senran kagura setting
haruki inoue from master of martial hearts, brown hair, master of martial hearts setting
haruko haruhara from flcl, rose hair, flcl setting
harumi taniguchi from citrus, pink hair, citrus setting
haruna kasuga from blue archive, black hair, blue archive setting
haruna sairenji from to love-ru, black hair, to love-ru setting
haruna sairenji from to love-ru, brown hair, to love-ru setting
hatsune miku from project diva, turquoise hair, project diva setting
haumea from fire force, blonde hair, fire force setting
heather mason from silent hill 3, blonde hair, silent hill 3 setting
helena douglas from dead or alive, blonde hair, dead or alive setting
helena from azur lane, blue hair, azur lane setting
hermione from azur lane, blonde hair, azur lane setting
hestia from danmachi is it wrong to pick up girls in a dungeon, black hair, danmachi is it wrong to pick up girls in a dungeon setting
hibana from fire force, rose hair, fire force setting
hibari ameno from yuuna and the haunted hot springs, purple hair, yuuna and the haunted hot springs setting
hibari from senran kagura, rose hair, senran kagura setting
hibiki ganaha from idolmaster, dark blue hair, idolmaster setting
hibiki takane from samurai shodown, black hair, samurai shodown setting
hifumi ajitani from blue archive, blonde hair, blue archive setting
hikage from senran kagura, green hair, senran kagura setting
hild from oh my goddess, white hair, oh my goddess setting
hilda valentine goneril from fire emblem, rose hair, fire emblem setting
hilda valentine from blue archive the animation , black hair, blue archive the animation  setting
hilda from cross ange, red hair, cross ange setting
hilde from soul calibur, red hair, soul calibur setting
himari azuma from chained soldier, blonde hair, chained soldier setting
himawari shinomiya from vividred operation, blonde hair, vividred operation setting
himeko murata from honkai impact 3rd, red hair, honkai impact 3rd setting
himeno from chainsaw man, black hair, chainsaw man setting
himiko agari from komi cant communicate, brown hair, komi cant communicate setting
himmel from frieren beyond journeys end, blonde hair, frieren beyond journeys end setting
hina chono from blue box, black hair, blue box setting
hinako kominato from gantz, brown hair, gantz setting
hinako kominato from gantz, brown hair, gantz setting
hinako kominato from triage x, brown hair, triage x setting
hinako from the king of fighters, blonde hair, the king of fighters setting
hinata hyuga from naruto, black hairassination classroom, brown hair, assassination classroom setting
hindenburg from azur lane, blonde hair, azur lane setting
hiro segawa from a couple of cuckoos, purple hair, a couple of cuckoos setting
hisako arato from food wars, hot pink hair, food wars setting
hisako arato from shokugeki no souma, red hair, shokugeki no souma setting
hisako from killer instinct, black hair, killer instinct setting
historia reiss from attack on titan, blonde hair, attack on titan setting
hisui e. fiore from fairy tail, green hair, fairy tail setting
hit-girl from icon millarworld, purple hair, icon millarworld setting
hitagi senjougahara from bakemonogatari, purple hair, bakemonogatari setting
hitomi tsukishiro from kakegurui, black hair, kakegurui setting
hitomi from dead or alive, brown hair, dead or alive setting
hiyori iki from noragami, black hair, noragami setting
hokuto itsumo from scorching ping pong girls, black hair, scorching ping pong girls setting
holli would from cool world, blonde hair, cool world setting
holly rose from freezing, rose hair, freezing setting
holo from spice and wolf, brown hair, spice and wolf setting
homare onishima from are you lost, blonde hair, are you lost setting
homura akemi from mahou shoujo madoka magica, black hair, mahou shoujo madoka magica setting
homura kogetsu from edens zero, purple hair, edens zero setting
homura momiji from dr stone, rose hair, dr stone setting
homura from senran kagura, black hair, senran kagura setting
homura from senran kagura, black hair, senran kagura setting
honey kisaragi from cutie honey, blonde and red hair, cutie honey setting
honey from fighting vipers series, black hair, fighting vipers series setting
honey from space dandy, blonde hair, space dandy setting
honoka from dead or alive, rose hair, dead or alive setting
honolulu from azur lane, brown hair, azur lane setting
hornet from hollow knight, black hair, hollow knight setting
hoshimi miyabi from zenless zone zero, black hair, zenless zone zero setting
hoshino takanashi from blue archive, pink hair, blue archive setting
houki shinonono from infinite stratos, dark brown hair, infinite stratos setting
housen ryofu from ikki tousen, turquoise hair, ikki tousen setting
hsien-ko from darkstalkers, purple hair, darkstalkers setting
hu tao from genshin impact, dark brown hair, genshin impact setting
hyakurin from blade of the immortal, blonde hair, blade of the immortal setting
hyetta from elden ring, blonde hair, elden ring setting
i-no from guilty gear, red hair, guilty gear setting
ibuki from azur lane, blue hair, azur lane setting
ibuki from street fighter, black hair, street fighter setting
ichigo souma from shokugeki no souma, dark blue hair, shokugeki no souma setting
ichigo from darling in the franxx, blue hair, darling in the franxx setting
ikaros from heavens lost property, rose hair, heavens lost property setting
ikaruga from senran kagura, black hair, senran kagura setting
ikaruga from senran kagura, black hair, senran kagura setting
ikumi mito from food wars, blonde hair, food wars setting
ikuno from darling in the franxx, purple hair, darling in the franxx setting
illustrious from azur lane, white hair, azur lane setting
illya archer from fate kaleid, white hair, fate kaleid setting
illyasviel von einzbern from fate stay night, white hair, fate stay night setting
ilulu from miss kobayashis dragon maid, red hair, miss kobayashis dragon maid setting
inara serra from firefly, black hair, firefly setting
ingrid bernstein from freezing, grey hair, freezing setting
ingrid from street fighter, blonde hair, street fighter setting
ino yamanaka from naruto, blonde hair, naruto setting
inori misuda from kandagawa jet girls, light blue hair, kandagawa jet girls setting
inori yuzuriha from guilty crown, rose hair, guilty crown setting
integra hellsing from hellsing, blonde hair, hellsing setting
inugami korone from hololive, brown hair, hololive setting
iori minase from blue archive, silver hair, blue archive setting
iria fukumune from so i cant play h, blonde hairassination classroom, blonde hair, assassination classroom setting
irina shidou from high school dxd, light brown hair, high school dxd setting
iris amicitia from final fantasy xv, dark brown hair, final fantasy xv setting
iris from fire force, blonde hair, fire force setting
irma from queens blade the exiled virgin, silver hair, queens blade the exiled virgin setting
iroha asobe from magicami dx, black hair, magicami dx setting
iroha from oregairu, light brown hair, oregairu setting
iroha from samurai shodown, black hair, samurai shodown setting
isabella from overlord mass for the dead, violet hair, overlord mass for the dead setting
itsuki sumeragi from kakegurui, blonde hair, kakegurui setting
ivy valentine from soul calibur series, silver white hair, soul calibur series setting
izetta from izetta the last witch, red hair, izetta the last witch setting
izumi sawatari from he is my master, blonde hair, he is my master setting
jacqui briggs from mortal kombat, black hair, mortal kombat setting
jade from beyond good & evil, green hair, beyond good & evil setting
jade from honkai star rail , green hair, honkai star rail  setting
jade from mortal kombat, brown hair, mortal kombat setting
jam kuradoberi from guilty gear, brown hair, guilty gear setting
jane doe from zenless zone zero, white hair, zenless zone zero setting
jane doe from zenless zone zero, black hair, zenless zone zero setting
jane foster from thor love and thunder, brown hair, thor love and thunder setting
jane royal from space adventure cobra, brown hair, space adventure cobra setting
jane from disneys tarzan, brown hair, disneys tarzan setting
janna from league of legends, blonde hair, league of legends setting
jasmine from senran kagura, blonde hair, senran kagura setting
jasmine from zenescope, black hair, zenescope setting
jaycee from tekken, brown hair, tekken setting
jean bart from azur lane, dark brown hair, azur lane setting
jean grey from marvel, red hair, marvel setting
jean grey from x-men 97, red hair, x-men 97 setting
jean from genshin impact, blonde hair, genshin impact setting
jeanne d'arc alter from fate grand order, white hair, fate grand order setting
jeanne d'arc ruler from fate apocrypha, blonde hair, fate apocrypha setting
jeanne from bayonetta, black hair, bayonetta setting
jen tate from primal, red hair, primal setting
jennifer peach from kandagawa jet girls, blonde hair, kandagawa jet girls setting
jennifer walters from she-hulk, brown green hair, she-hulk setting
jenny burtory from bloody roar, blonde hair, bloody roar setting
jenny burtory from bloody roar, blonde hair, bloody roar setting
jenny realight from fairy tail, blonde hair, fairy tail setting
jessica albert from dragon quest viii, red hair, dragon quest viii setting
jessica cruz from dc comics green lantern, brown hair, dc comics green lantern setting
jessica jones from marvels jessica jones, black hair, marvels jessica jones setting
jessica rabbit from who framed roger rabbit, red hair, who framed roger rabbit setting
jessie from pokémon, magentared hair, pokémon setting
jet girl sam from dark horse, black hair, dark horse setting
jet from echocalypse, blue hair, echocalypse setting
jibril from no game no life, rose to iridescent hombre hair, no game no life setting
jill valentine from resident evil 3 remake, brown hair, resident evil 3 remake setting
jill valentine from resident evil, brown hair, resident evil setting
jinx from arcane, blue hair, arcane setting
jinx from league of legends, light blue hair, league of legends setting
joanna dark from perfect dark, red hair, perfect dark setting
joffre from azur lane, silver hair, azur lane setting
josie rizal from tekken, black hair, tekken setting
joyce byers from stranger things, brown hair, stranger things setting
jubilee from x-men 97, black hair, x-men 97 setting
judy alvarez from cyberpunk 2077, green hair, cyberpunk 2077 setting
judy foss from freezing, orange hair, freezing setting
julia chang from tekken, brown hair, tekken setting
juliet starling from lollipop chainsaw, blonde hair, lollipop chainsaw setting
julis-alexia von riessfeld from gakusen toshi asterisk, rose hair, gakusen toshi asterisk setting
juna doma from how a realist hero rebuilt the kingdom, black hair, how a realist hero rebuilt the kingdom setting
juno from blame, silver hair, blame setting
jura basil elden from vandread, blonde hair, vandread setting
juri han from street fighter, black hair, street fighter setting
juvia lockser from fairy tail, blue hair, fairy tail setting
jyn erso from star wars rogue one, brown hair, star wars rogue one setting
kos-mos from xenosaga, blue hairassination classroom, green hair, assassination classroom setting
kaede from manyuu hiken-chou, blonde hair, manyuu hiken-chou setting
kaede from manyuu hikenchou, brown hair, manyuu hikenchou setting
kafka from honkai star rail , violet hair, honkai star rail  setting
kafuru from senran kagura, blue hair, senran kagura setting
kaga from kancolle, dark blue hair, kancolle setting
kagefusa manyuu from manyuu hikenchou, blonde hair, manyuu hikenchou setting
kagefusa manyuu from manyuu hikenchou, blonde hair, manyuu hikenchou setting
kagerou imaizumi from touhou project, black hair, touhou project setting
kagome from shuffle!, brown hair, shuffle! setting
kagura mikazuchi from fairy tail, violet hair, fairy tail setting
kagura from gintama, red hair, gintama setting
kagura from senran kagura, black hair, senran kagura setting
kaguya shijuuin from kandagawa jet girls, black hair, kandagawa jet girls setting
kaguya shinomiya from kaguya-sama love is war, black hair, kaguya-sama love is war setting
kahono from black clover, blue hair, black clover setting
kai'sa from league of legends, black hair, league of legends setting
kaine from nier replicant, blonde hair, nier replicant setting
kairi from kingdom hearts, red hair, kingdom hearts setting
kalifa from one piece, blonde hair, one piece setting
kallen stadtfeld from code geass, red hair, code geass setting
kamala khan from ms marvel, black hair, ms marvel setting
kamimutsuro from medaka box, black hair, medaka box setting
kamisato ayaka from genshin impact, white hair, genshin impact setting
kana arima from oshi no ko, blonde hair, oshi no ko setting
kana minami from minami-ke, dark brown hair, minami-ke setting
kanade tachibana from angel beats, silver hair, angel beats setting
kanae kocho from demon slayer, black hair, demon slayer setting
kanako miyamae from maria holic, brown hair, maria holic setting
kaname okiura from kenkou zenrakei suieibu umishou, brown hair, kenkou zenrakei suieibu umishou setting
kanao tsuyuri from demon slayer, black hair, demon slayer setting
kanata higa from harukana receive, dark brown hair, harukana receive setting
kanu unchou from ikki tousen, black hair, ikki tousen setting
kanzashi sarashiki from infinite stratos, blue hair, infinite stratos setting
kaori makimura from city hunter, brown hair, city hunter setting
kaori miyazono from your lie in april, blonde hair, your lie in april setting
kaori shirasaki from arifureta, black hair, arifureta setting
kaori tomonaga from magicami dx, brown hair, magicami dx setting
kaoru sugimura from nana to kaoru, brown hair, nana to kaoru setting
kaoru sugimura from nana to kaoru, brown hair, nana to kaoru setting
kara danvers from supergirl, blonde hair, supergirl setting
karen minamino from aika, brown hair, aika setting
karenina from punishing gray raven, orange or red hair, punishing gray raven setting
karin kakudate from blue archive, black hair, blue archive setting
karin son from voltage fighter gowcaizer, brown hair, voltage fighter gowcaizer setting
karla from dark souls 3, black hair, dark souls 3 setting
kashino from azur lane, brown hairassins creed odyssey, brown hair, assassins creed odyssey setting
kasumi miwa from jujutsu kaisen, light blue hair, jujutsu kaisen setting
kasumi nakasu from love live! nijigasaki, light brown hair, love live! nijigasaki setting
kasumi tendo from ranma 1 2, brown hair, ranma 1 2 setting
kasumi yoshizawa from persona 5, red hair, persona 5 setting
kasumi from dead or alive, copper hair, dead or alive setting
kate bishop from hawkeye, brown hair, hawkeye setting
katherine mcbride from catherine, blonde hair, catherine setting
katja from seikon no qwaser, rose hair, seikon no qwaser setting
katniss everdeen from die tribute von panem, brown hair, die tribute von panem setting
katsuragi from senran kagura, blonde hair, senran kagura setting
kaveh from genshin impact, green hair, genshin impact setting
kaya kiyoshi from keijo, green hair, keijo setting
kaya from the king of fighters, blonde hair, the king of fighters setting
kazane aoba from keijo, brown hair, keijo setting
kearsarge from azur lane, blonde hair, azur lane setting
kei karuizawa from classroom of the elite, blonde hair, classroom of the elite setting
kena from kena bridge of spirits, black hair, kena bridge of spirits setting
keqing from genshin impact, purple hair, genshin impact setting
kiana kaslana from honkai impact 3rd, white/silver hair, honkai impact 3rd setting
kiki from echocalypse, pink hair, echocalypse setting
king from the king of fighters, blonde hairassination classroom, black hair, assassination classroom setting
kirara from genshin impact, blonde hair, genshin impact setting
kirari momobami from kakegurui, blonde hair, kakegurui setting
kirin toudou from gakusen toshi asterisk, purple hair, gakusen toshi asterisk setting
kiriya senshou from mother of the goddess dormitory, red hair, mother of the goddess dormitory setting
kirov from azur lane, white hair, azur lane setting
kiruka ushirode from scorching ping pong girls, purple hair, scorching ping pong girls setting
kishimoto kei from gantz, red hair, gantz setting
kita ikuyo from bocchi the rock, blue hair, bocchi the rock setting
kitana from mortal kombat, black hair, mortal kombat setting
kizuna ai from virtual youtuber, brown hair, virtual youtuber setting
klan klang from macross frontier, blue hair, macross frontier setting
kneesocks from panty & stocking with garterbelt, blue hair, panty & stocking with garterbelt setting
kneesocks from panty & stocking, blue hair, panty & stocking setting
ko yagami from new game, blonde hair, new game setting
kobe from mist train girls, black hair, mist train girls setting
kobeni higashiyama from chainsaw man, brown hair, chainsaw man setting
kofuku from noragami, hot pink hair, noragami setting
kohaku from dr stone, blonde hair, dr stone setting
koko hekmatyar from jormungand, white hair, jormungand setting
kokomi sangonomiya from genshin impact, blonde hair, genshin impact setting
kokoro tsurumaki from bang dream, blonde hair, bang dream setting
kokoro from darling in the franxx, blonde hair, darling in the franxx setting
kokoro from dead or alive, black hair, dead or alive setting
kokoro from dead or alive, brown hair, dead or alive setting
koleda belobog from zenless zone zero, red hair, zenless zone zero setting
koleda belobog from zenless zone zero, red hair, zenless zone zero setting
kolin from street fighter, blonde hair, street fighter setting
komi shouko from komi cant communicate, black hair, komi cant communicate setting
konan from naruto shippuden, blue hair, naruto shippuden setting
konan from naruto, purple hair, naruto setting
koneko toujou from high school dxd, white hair, high school dxd setting
koneko toujou from high school dxd, white hair, high school dxd setting
kongou from kancolle, brown hair, kancolle setting
konjiki no yami from to love-ru, blonde hair, to love-ru setting
konoko from oni, black hair, oni setting
konomi suzue from triage x, light brown hair, triage x setting
kosaki onodera from nisekoi, brown hair, nisekoi setting
kotone fujisaki from keijo, blonde hair, keijo setting
kotonoha katsura from school days, black hair, school days setting
kotori itsuka from date a live, red hair, date a live setting
koyori tsumujikaze from scorching ping pong girls, pink hair, scorching ping pong girls setting
koyuzu shigaraki from yuragi-sou no yuuna-san, blonde hair, yuragi-sou no yuuna-san setting
kronshtadt from azur lane, white hair, azur lane setting
kronya from fire emblem three houses, orange hair, fire emblem three houses setting
krul tepes from seraph of the end, pink hair, seraph of the end setting
kujaku from dr stone, blonde hair, dr stone setting
kujira kurokami aka youka naze from medaka box, silver and white hair, medaka box setting
kujou sara from genshin impact, blue hair, genshin impact setting
kukaku shiba from bleach, black hair, bleach setting
kuki shinobu from genshin impact, green hair, genshin impact setting
kukuru misakino from shiroi suna no aquatope, blue hair, shiroi suna no aquatope setting
kula diamond from king of fighters, light blue hair, king of fighters setting
kunai zenow from monster girl doctor, dark brown hair, monster girl doctor setting
kunimitsu i from tekken, red hair, tekken setting
kunoichi kaen from last origin, red hair, last origin setting
kureha tsubaki from yurikuma arashi, brown hair, yurikuma arashi setting
kurenai yuhi from naruto, black hair, naruto setting
kurisu makise from steins, redbrown hair, steins setting
kuroka from high school dxd, black hair, high school dxd setting
kuroka from high school dxd, black hair, high school dxd setting
kuroko smith from monster musume, black hair, monster musume setting
kuromaru manpuku from kandagawa jet girls, purple hair, kandagawa jet girls setting
kurome from akame ga kill, black hair, akame ga kill setting
kursk from azur lane, silver hair, azur lane setting
kurumi nonaka from the testament of sister new devil, light blue hair, the testament of sister new devil setting
kurumi tokisaki from date a live, black hair, date a live setting
kurumu kurono from rosario + vampire, blue hair, rosario + vampire setting
kurumu kurono from rosario + vampire, light blue hair, rosario + vampire setting
kururi orihara from durarara, brown hair, durarara setting
kururu sumeragi from air gear, brown hair, air gear setting
kushina uzumaki from naruto, red hair, naruto setting
kuu from akame ga kill, brown hair, akame ga kill setting
kyoko hayashi from highschool of the dead, brown hair, highschool of the dead setting
kyouka jirou from my hero academia, violet hair, my hero academia setting
kyouka kanejou from b gata h kei, blonde hair, b gata h kei setting
kyouka uzen from chained soldier, black hair, chained soldier setting
kyouko hori from horimiya, brown hair, horimiya setting
kāne from sakuna of rice and ruin, black hair, sakuna of rice and ruin setting
la galissonnière from azur lane, brown hair, azur lane setting
la mariposa from dead or alive, purple hair, dead or alive setting
labilia christy from edens zero, blue hair, edens zero setting
lacia from beatless, silver hair, beatless setting
lady death from chaos comics, white hair, chaos comics setting
lady dimitrescu from resident evil, black hair, resident evil setting
lady j from valkyrie drive, red hair, valkyrie drive setting
lady x from rumble roses, orange hair, rumble roses setting
lain iwakura from serial experiments lain, brown hair, serial experiments lain setting
lakyus alvein dale aindra from overlord, blonde hair, overlord setting
lala satalin deviluke from to love-ru, rose hair, to love-ru setting
lala satalin deviluke from to love-ru, rose hair, to love-ru setting
lamia from punishing gray raven, silver or white hair, punishing gray raven setting
lana kane from archer, black hair, archer setting
lana linchen from freezing, black hair, freezing setting
laplace from goddess of victory nikke, white hair, goddess of victory nikke setting
lara croft from tomb raider, brown hair, tomb raider setting
launch from dragon ball, blue blonde hair, dragon ball setting
laura bodewig from infinite stratos, silver hair, infinite stratos setting
laura bow from the colonels bequest, brown hair, the colonels bequest setting
laura matsuda from street fighter, black hair, street fighter setting
laura from rin daughters of mnemosyne, blonde hair, rin daughters of mnemosyne setting
laura from street fighter, black hair, street fighter setting
lavinia reni from high school dxd, red hair, high school dxd setting
layla el altan from freezing, black hair, freezing setting
layla hamilton from kaleido star, blonde hair, kaleido star setting
layla from genshin impact, blue hair, genshin impact setting
leafa from sword art online, blonde hair, sword art online setting
leifang from dead or alive, black hair, dead or alive setting
leina vance from queens blade, blonde hair, queens blade setting
leina from queens blade, blonde hair, queens blade setting
leina from queens blade, blonde hair, queens blade setting
lemonade beta from last origin, blonde hair, last origin setting
leona heidern from the king of fighters, blue hair, the king of fighters setting
leone from akame ga kill, blonde hair, akame ga kill setting
lepic from the first descendant , red hair, the first descendant  setting
levi kazama from trinity seven, green hair, trinity seven setting
levia from brown dust 2, black hair, brown dust 2 setting
levia from echocalypse, white hair, echocalypse setting
leviathan from seven mortal sins, blue hair, seven mortal sins setting
levy mcgarden from fairy tail, blue hair, fairy tail setting
liara t'soni from mass effect, none hair,  breasts,  ass, mass effect setting
liatris from brown dust 2, blue hair, brown dust 2 setting
lidia sobieska from tekken 8 , brown hair, tekken 8  setting
lightning farron from final fantasy xiii, rose hair, final fantasy xiii setting
lightning from final fantasy xiii, rose hair, final fantasy xiii setting
lila from najica blitz tactics, violet hair, najica blitz tactics setting
lili de rochefort from tekken, blonde hair, tekken setting
liliruca arde from danmachi is it wrong to pick up girls in a dungeon, brown hair, danmachi is it wrong to pick up girls in a dungeon setting
lilith asami from trinity seven, red hair, trinity seven setting
lilith from darkstalkers, purple hair, darkstalkers setting
lilith from darkstalkers, red hair, darkstalkers setting
lillian weinberg from dr stone, blonde hair, dr stone setting
lilysa amano from 25 dimensional seduction, pastel pink hair, 25 dimensional seduction setting
ling xiaoyu from tekken, brown hair, tekken setting
lingguang from aether gazer, blonde hair, aether gazer setting
lingyin rin huang from infinite stratos, dark brown hair, infinite stratos setting
liru from renkin san-kyuu magical pokaan, blonde hair, renkin san-kyuu magical pokaan setting
lisa hamilton from dead or alive, brown hair, dead or alive setting
lisa hamilton from dead or alive, brown hair, dead or alive setting
lisa isaribi from fire force, red hair, fire force setting
lisa lisa from jojos bizarre adventure, dark brown hair, jojos bizarre adventure setting
lisa minci from genshin impact, purple hair, genshin impact setting
lisa from destiny child, brown hair, destiny child setting
lisa from genshin impact, brown hair, genshin impact setting
lisara restall from so i cant play h, red hair, so i cant play h setting
lisbeth from sword art online, rose hair,  breasts,  ass, sword art online setting
liscia elfrieden from how a realist hero rebuilt the kingdom, blonde hair, how a realist hero rebuilt the kingdom setting
litchi faye-ling from blazblue, black hair, blazblue setting
liter from goddess of victory nikke, pink hair, goddess of victory nikke setting
liu shenyun from freezing, black hair, freezing setting
liv from punishing gray raven, white or pink hair, punishing gray raven setting
liz allan from marvel comics, blonde hair, marvel comics setting
liz sherman from dark horse, brown hair, dark horse setting
loen from brown dust 2, red hair, brown dust 2 setting
loraine from guardian tales, blonde hair, guardian tales setting
loretta lecarde from castlevania portrait of ruin, violet hair, castlevania portrait of ruin setting
louise from high school dxd, rose hair, high school dxd setting
lucia from punishing gray raven, black or white hair, punishing gray raven setting
luciana de montefio from zenless zone zero, blonde hair, zenless zone zero setting
lucifer from seven mortal sins, blonde hair, seven mortal sins setting
lucina from fire emblem, violet hair, fire emblem setting
lucky chloe from tekken, blonde hair, tekken setting
lucoa from miss kobayashis dragon maid, blonde hair, miss kobayashis dragon maid setting
lucy heartfilia from fairy tail, blonde hair, fairy tail setting
lucy from cyberpunk edgerunners, rose hair,  breasts,  ass, cyberpunk edgerunners setting
lucy from elfen lied, rose hair, elfen lied setting
lucy from zenless zone zero, blonde hair, zenless zone zero setting
lulu yurigasaki from yurikuma arashi, blonde hair, yurikuma arashi setting
lulu from final fantasy x, black hair, final fantasy x setting
lum from urusei yatsura, green hair, urusei yatsura setting
lumiere from overlord, blonde hair, overlord setting
lumine from genshin impact, blonde hair, genshin impact setting
luna wright from dr stone, rose hair, dr stone setting
luna from daraku gear, silver hair, daraku gear setting
luna from punishing gray raven, white hair, punishing gray raven setting
lunafreya from final fantasy xv, blonde hair, final fantasy xv setting
lung wu from azur lane, black hair, azur lane setting
luong from king of fighters, black hair, king of fighters setting
lupusregina beta from overlord, red hair, overlord setting
lust from fullmetal alchemist bredherhood, black hair,  breasts,  assassins creed syndicate, brown hair, assassins creed syndicate setting
lyn from fire emblem, green hair, fire emblem setting
lynette bishop from strike witches, light brown hair, strike witches setting
lynette from genshin impact, blonde hair, genshin impact setting
lynx from fortnite, hot pink hair, fortnite setting
lysithea von ordelia from fire emblem three houses, white hair, fire emblem three houses setting
lützow from azur lane, red hair, azur lane setting
maat from destiny child, blonde hair, destiny child setting
mabui from naruto, silver hair,  breasts,  ass, naruto setting
machi from hunter x hunter, hot pink hair, hunter x hunter setting
machina from demon lord 2099, blue hair, demon lord 2099 setting
madame president from golden boy, red hair, golden boy setting
madame president from golden boy, red hair, golden boy setting
madoka kaname from mahou shoujo madoka magica, rose hair, mahou shoujo madoka magica setting
mafuyu oribe from seikon no qwaser, black hair, seikon no qwaser setting
mafuyu oribe from seikon no qwaser, brown hair, seikon no qwaser setting
magino from 25 dimensional seduction, black hair, 25 dimensional seduction setting
mai itoeda from keijo, purple hair, keijo setting
mai sakurajima from rascal does not dream of bunny girl senpai, black hair,  breasts,  ass, rascal does not dream of bunny girl senpai setting
mai shiranui from fatal fury king of fighters, brown hair, fatal fury king of fighters setting
mai zenin from jujutsu kaisen, black hair, jujutsu kaisen setting
mainz from azur lane, pink hair, azur lane setting
mairu orihara from durarara, brown hair, durarara setting
maka albarn from soul eater manga, blonde hair, soul eater manga setting
maki kagura from samurai shodown, black hair, samurai shodown setting
maki nishikino from love live school idol project, red hair,  breasts,  ass, love live school idol project setting
maki oze from fire force, black hair, fire force setting
maki zenin from jujutsu kaisen, green hair, jujutsu kaisen setting
maki from street fighter, brown hair,  breasts,  ass, street fighter setting
makie otono-tachibana from blade of the immortal, black hair, blade of the immortal setting
makima from chainsaw man, red hair, chainsaw man setting
makina from deadman wonderland, rose hair,  breasts,  ass, deadman wonderland setting
mako mankanshoku from kill la kill, brown hair, kill la kill setting
mako shiraishi from samurai sentai shinkenger, brown hair, samurai sentai shinkenger setting
makoto aihara from rumble roses, black hair, rumble roses setting
makoto nanaya from blazblue, brown hair, blazblue setting
makoto niijima queen from persona 5, brown hair, persona 5 setting
malenia, blade of miquella from elden ring, red hair, elden ring setting
malty from legend of the shield hero, red hair, legend of the shield hero setting
mami nanami from rent-a-girlfriend, blonde hair, rent-a-girlfriend setting
mammon from seven mortal sins, blonde hair, seven mortal sins setting
mamori tokonome from valkyrie drive mermaid, red hair, valkyrie drive mermaid setting
mamori tokonome from valkyrie drive, pink hair, valkyrie drive setting
manaka mizusawa from puraore, brown hair, puraore setting
manami kinjou from cat planet cuties, brown hair, cat planet cuties setting
manatsu shiroishi from kandagawa jet girls, white hair, kandagawa jet girls setting
mantis from guardians of the galaxy, black hair, guardians of the galaxy setting
manuela casagranda from fire emblem three houses, brown hair, fire emblem three houses setting
maomao from the apothecary diaries, green hair, the apothecary diaries setting
marcille donato from delicious in dungeon, blonde hair, delicious in dungeon setting
mari kurihara from prison school, black hair, prison school setting
maria naruse from testament of sister new devil, silver hair, testament of sister new devil setting
maria naruse from the testament of sister new devil, silver hair, the testament of sister new devil setting
maria renard from castlevania rondo of blood, blonde hair, castlevania rondo of blood setting
maria slime from edens zero, violet hair, edens zero setting
maria totsuka from seven mortal sins, brown hair, seven mortal sins setting
maria from last origin, blonde hair, last origin setting
marianne von edmund from fire emblem three houses, light blue hair, fire emblem three houses setting
marie rose from azur lane, blonde hair, azur lane setting
marie rose from dead or alive, blonde hair, dead or alive setting
marika tachibana from nisekoi, orange hair, nisekoi setting
marin kitagawa from my dress-up darling, blonde hair, my dress-up darling setting
mariya shidō from maria holic, blonde hair, maria holic setting
mars from destiny child, pink hair, destiny child setting
mary jane watson from marvel, red hair, marvel setting
mary saotome from kakegurui, blonde hair, kakegurui setting
mary from grimgar of fantasy and ash, dark blue hair, grimgar of fantasy and ash setting
masane amaha from witchblade, brown hair, witchblade setting
mashiro shirakami from blue archive, white hair, blue archive setting
matrona from seven deadly sins, brown hair, seven deadly sins setting
